Country,Year,Consumtion,Unit,Commodity,Source,iso3
Canada,1965,21.6684225,billion cubic metres,gas,Energy Institute Statistical Review,CAN
Mexico,1965,8.06468860038721,billion cubic metres,gas,Energy Institute Statistical Review,MEX
United States,1965,415.9206101591464,billion cubic metres,gas,Energy Institute Statistical Review,USA
Argentina,1965,4.123400000000001,billion cubic metres,gas,Energy Institute Statistical Review,ARG
Brazil,1965,0.051342153075221234,billion cubic metres,gas,Energy Institute Statistical Review,BRA
Chile,1965,0.61778,billion cubic metres,gas,Energy Institute Statistical Review,CHL
Colombia,1965,0.895125,billion cubic metres,gas,Energy Institute Statistical Review,COL
Ecuador,1965,0.0,billion cubic metres,gas,Energy Institute Statistical Review,ECU
Peru,1965,0.36575,billion cubic metres,gas,Energy Institute Statistical Review,PER
Trinidad and Tobago,1965,1.1427749999999999,billion cubic metres,gas,Energy Institute Statistical Review,TTO
Venezuela,1965,7.518030000000001,billion cubic metres,gas,Energy Institute Statistical Review,VEN
Central America,1965,0.0,billion cubic metres,gas,Energy Institute Statistical Review,
Other Caribbean,1965,0.0029250000000000005,billion cubic metres,gas,Energy Institute Statistical Review,
Other South America,1965,0.053886699999999996,billion cubic metres,gas,Energy Institute Statistical Review,
Austria,1965,1.7528646900209428,billion cubic metres,gas,Energy Institute Statistical Review,AUT
Belgium,1965,0.0735,billion cubic metres,gas,Energy Institute Statistical Review,BEL
Bulgaria,1965,0.05627249999999999,billion cubic metres,gas,Energy Institute Statistical Review,BGR
Croatia,1965,0.0,billion cubic metres,gas,Energy Institute Statistical Review,HRV
Cyprus,1965,0.0,billion cubic metres,gas,Energy Institute Statistical Review,CYP
Czech Republic,1965,0.42905,billion cubic metres,gas,Energy Institute Statistical Review,CZE
Denmark,1965,0.0,billion cubic metres,gas,Energy Institute Statistical Review,DNK
Estonia,1965,0.0,billion cubic metres,gas,Energy Institute Statistical Review,EST
Finland,1965,0.0,billion cubic metres,gas,Energy Institute Statistical Review,FIN
France,1965,5.004699520999999,billion cubic metres,gas,Energy Institute Statistical Review,FRA
Germany,1965,3.0975673611847245,billion cubic metres,gas,Energy Institute Statistical Review,DEU
Greece,1965,0.0,billion cubic metres,gas,Energy Institute Statistical Review,GRC
Hungary,1965,1.3597250000000003,billion cubic metres,gas,Energy Institute Statistical Review,HUN
Iceland,1965,0.0,billion cubic metres,gas,Energy Institute Statistical Review,ISL
Ireland,1965,0.0,billion cubic metres,gas,Energy Institute Statistical Review,IRL
Italy,1965,7.374699999999999,billion cubic metres,gas,Energy Institute Statistical Review,ITA
