Country,Year,Production,Unit,Commodity,Source,iso3
Canada,1970,54.01627500000001,billion cubic metres,gas,Energy Institute Statistical Review,CAN
Mexico,1970,11.030307247353802,billion cubic metres,gas,Energy Institute Statistical Review,MEX
United States,1970,571.4622983608388,billion cubic metres,gas,Energy Institute Statistical Review,USA
Argentina,1970,5.854450000000002,billion cubic metres,gas,Energy Institute Statistical Review,ARG
Bolivia,1970,0.041868,billion cubic metres,gas,Energy Institute Statistical Review,BOL
Brazil,1970,0.08110123893805307,billion cubic metres,gas,Energy Institute Statistical Review,BRA
Colombia,1970,1.249325,billion cubic metres,gas,Energy Institute Statistical Review,COL
Peru,1970,0.39751250000000005,billion cubic metres,gas,Energy Institute Statistical Review,PER
Trinidad and Tobago,1970,1.7767575,billion cubic metres,gas,Energy Institute Statistical Review,TTO
Venezuela,1970,8.558100000000001,billion cubic metres,gas,Energy Institute Statistical Review,VEN
Denmark,1970,0.0,billion cubic metres,gas,Energy Institute Statistical Review,DNK
Germany,1970,12.012974999999999,billion cubic metres,gas,Energy Institute Statistical Review,DEU
Italy,1970,12.581549999999998,billion cubic metres,gas,Energy Institute Statistical Review,ITA
Netherlands,1970,27.916666666666668,billion cubic metres,gas,Energy Institute Statistical Review,NLD
Norway,1970,0.0,billion cubic metres,gas,Energy Institute Statistical Review,NOR
Poland,1970,5.119325,billion cubic metres,gas,Energy Institute Statistical Review,POL
Romania,1970,21.742856050000004,billion cubic metres,gas,Energy Institute Statistical Review,ROU
Ukraine,1970,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UKR
United Kingdom,1970,10.949645,billion cubic metres,gas,Energy Institute Statistical Review,GBR
Azerbaijan,1970,0.0,billion cubic metres,gas,Energy Institute Statistical Review,AZE
Kazakhstan,1970,0.0,billion cubic metres,gas,Energy Institute Statistical Review,KAZ
Russian Federation,1970,0.0,billion cubic metres,gas,Energy Institute Statistical Review,RUS
Turkmenistan,1970,0.0,billion cubic metres,gas,Energy Institute Statistical Review,TKM
Uzbekistan,1970,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UZB
Bahrain,1970,0.6501170000000001,billion cubic metres,gas,Energy Institute Statistical Review,BHR
Iran,1970,3.4954538397015122,billion cubic metres,gas,Energy Institute Statistical Review,IRN
Iraq,1970,0.741,billion cubic metres,gas,Energy Institute Statistical Review,IRQ
Israel,1970,0.12773634784292692,billion cubic metres,gas,Energy Institute Statistical Review,ISR
Kuwait,1970,1.9351499999999997,billion cubic metres,gas,Energy Institute Statistical Review,KWT
Oman,1970,0.0,billion cubic metres,gas,Energy Institute Statistical Review,OMN
Qatar,1970,1.0401750000000003,billion cubic metres,gas,Energy Institute Statistical Review,QAT
Saudi Arabia,1970,1.53615,billion cubic metres,gas,Energy Institute Statistical Review,SAU
Syria,1970,0.0,billion cubic metres,gas,Energy Institute Statistical Review,SYR
United Arab Emirates,1970,0.8121750000000001,billion cubic metres,gas,Energy Institute Statistical Review,ARE
Algeria,1970,2.4380125,billion cubic metres,gas,Energy Institute Statistical Review,DZA
Egypt,1970,0.08181250000000001,billion cubic metres,gas,Energy Institute Statistical Review,EGY
Libya,1970,0.2793,billion cubic metres,gas,Energy Institute Statistical Review,LBY
Nigeria,1970,0.10545,billion cubic metres,gas,Energy Institute Statistical Review,NGA
Australia,1970,1.7303974619999998,billion cubic metres,gas,Energy Institute Statistical Review,AUS
Bangladesh,1970,0.0,billion cubic metres,gas,Energy Institute Statistical Review,BGD
Brunei,1970,0.21352500000000002,billion cubic metres,gas,Energy Institute Statistical Review,BRN
China,1970,2.892576204523107,billion cubic metres,gas,Energy Institute Statistical Review,CHN
India,1970,0.6328466202712499,billion cubic metres,gas,Energy Institute Statistical Review,IND
Indonesia,1970,1.2789,billion cubic metres,gas,Energy Institute Statistical Review,IDN
Malaysia,1970,0.0,billion cubic metres,gas,Energy Institute Statistical Review,MYS
Myanmar,1970,0.00736875,billion cubic metres,gas,Energy Institute Statistical Review,MMR
Pakistan,1970,2.9103925,billion cubic metres,gas,Energy Institute Statistical Review,PAK
Thailand,1970,0.0,billion cubic metres,gas,Energy Institute Statistical Review,THA
Vietnam,1970,0.0,billion cubic metres,gas,Energy Institute Statistical Review,VNM
Canada,1971,59.05500000000001,billion cubic metres,gas,Energy Institute Statistical Review,CAN
Mexico,1971,10.918173073650927,billion cubic metres,gas,Energy Institute Statistical Review,MEX
United States,1971,587.6605972425101,billion cubic metres,gas,Energy Institute Statistical Review,USA
Argentina,1971,6.326598750000001,billion cubic metres,gas,Energy Institute Statistical Review,ARG
Bolivia,1971,0.041868,billion cubic metres,gas,Energy Institute Statistical Review,BOL
Brazil,1971,0.12874821681415924,billion cubic metres,gas,Energy Institute Statistical Review,BRA
Colombia,1971,1.30045,billion cubic metres,gas,Energy Institute Statistical Review,COL
Peru,1971,0.4745125,billion cubic metres,gas,Energy Institute Statistical Review,PER
Trinidad and Tobago,1971,1.8635000000000002,billion cubic metres,gas,Energy Institute Statistical Review,TTO
Venezuela,1971,8.293920000000002,billion cubic metres,gas,Energy Institute Statistical Review,VEN
Denmark,1971,0.0,billion cubic metres,gas,Energy Institute Statistical Review,DNK
Germany,1971,14.799725,billion cubic metres,gas,Energy Institute Statistical Review,DEU
Italy,1971,12.8202,billion cubic metres,gas,Energy Institute Statistical Review,ITA
Netherlands,1971,38.58333333333334,billion cubic metres,gas,Energy Institute Statistical Review,NLD
Norway,1971,0.0,billion cubic metres,gas,Energy Institute Statistical Review,NOR
Poland,1971,5.279025,billion cubic metres,gas,Energy Institute Statistical Review,POL
Romania,1971,23.236145675,billion cubic metres,gas,Energy Institute Statistical Review,ROU
Ukraine,1971,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UKR
United Kingdom,1971,18.196298000000002,billion cubic metres,gas,Energy Institute Statistical Review,GBR
Azerbaijan,1971,0.0,billion cubic metres,gas,Energy Institute Statistical Review,AZE
Kazakhstan,1971,0.0,billion cubic metres,gas,Energy Institute Statistical Review,KAZ
Russian Federation,1971,0.0,billion cubic metres,gas,Energy Institute Statistical Review,RUS
Turkmenistan,1971,0.0,billion cubic metres,gas,Energy Institute Statistical Review,TKM
Uzbekistan,1971,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UZB
Bahrain,1971,0.9478450000000003,billion cubic metres,gas,Energy Institute Statistical Review,BHR
Iran,1971,8.454399723326722,billion cubic metres,gas,Energy Institute Statistical Review,IRN
Iraq,1971,0.8787499999999999,billion cubic metres,gas,Energy Institute Statistical Review,IRQ
Israel,1971,0.1195663815596848,billion cubic metres,gas,Energy Institute Statistical Review,ISR
Kuwait,1971,1.9988,billion cubic metres,gas,Energy Institute Statistical Review,KWT
Oman,1971,0.0,billion cubic metres,gas,Energy Institute Statistical Review,OMN
Qatar,1971,1.0401750000000003,billion cubic metres,gas,Energy Institute Statistical Review,QAT
Saudi Arabia,1971,1.28155,billion cubic metres,gas,Energy Institute Statistical Review,SAU
Syria,1971,0.0,billion cubic metres,gas,Energy Institute Statistical Review,SYR
United Arab Emirates,1971,1.434225,billion cubic metres,gas,Energy Institute Statistical Review,ARE
Algeria,1971,2.569875,billion cubic metres,gas,Energy Institute Statistical Review,DZA
Egypt,1971,0.08181250000000001,billion cubic metres,gas,Energy Institute Statistical Review,EGY
Libya,1971,0.6726,billion cubic metres,gas,Energy Institute Statistical Review,LBY
Nigeria,1971,0.19522500000000004,billion cubic metres,gas,Energy Institute Statistical Review,NGA
Australia,1971,2.5826679361,billion cubic metres,gas,Energy Institute Statistical Review,AUS
Bangladesh,1971,0.4456375,billion cubic metres,gas,Energy Institute Statistical Review,BGD
Brunei,1971,0.21157499999999999,billion cubic metres,gas,Energy Institute Statistical Review,BRN
China,1971,3.7694198623402158,billion cubic metres,gas,Energy Institute Statistical Review,CHN
India,1971,0.6706218749999999,billion cubic metres,gas,Energy Institute Statistical Review,IND
Indonesia,1971,1.5225000000000002,billion cubic metres,gas,Energy Institute Statistical Review,IDN
Malaysia,1971,0.08287491504893849,billion cubic metres,gas,Energy Institute Statistical Review,MYS
Myanmar,1971,0.014246250000000002,billion cubic metres,gas,Energy Institute Statistical Review,MMR
Pakistan,1971,2.636095,billion cubic metres,gas,Energy Institute Statistical Review,PAK
Thailand,1971,0.0,billion cubic metres,gas,Energy Institute Statistical Review,THA
Vietnam,1971,0.0,billion cubic metres,gas,Energy Institute Statistical Review,VNM
Canada,1972,66.675,billion cubic metres,gas,Energy Institute Statistical Review,CAN
Mexico,1972,11.34802267128081,billion cubic metres,gas,Energy Institute Statistical Review,MEX
United States,1972,585.7550081143004,billion cubic metres,gas,Energy Institute Statistical Review,USA
Argentina,1972,6.013940000000001,billion cubic metres,gas,Energy Institute Statistical Review,ARG
Bolivia,1972,1.1164800000000001,billion cubic metres,gas,Energy Institute Statistical Review,BOL
Brazil,1972,0.17538142920353977,billion cubic metres,gas,Energy Institute Statistical Review,BRA
Colombia,1972,1.5885500000000001,billion cubic metres,gas,Energy Institute Statistical Review,COL
Peru,1972,0.45622500000000005,billion cubic metres,gas,Energy Institute Statistical Review,PER
Trinidad and Tobago,1972,1.9260750000000002,billion cubic metres,gas,Energy Institute Statistical Review,TTO
Venezuela,1972,8.243970000000001,billion cubic metres,gas,Energy Institute Statistical Review,VEN
Denmark,1972,0.0,billion cubic metres,gas,Energy Institute Statistical Review,DNK
Germany,1972,17.718575,billion cubic metres,gas,Energy Institute Statistical Review,DEU
Italy,1972,13.587325000000002,billion cubic metres,gas,Energy Institute Statistical Review,ITA
Netherlands,1972,51.44444444444444,billion cubic metres,gas,Energy Institute Statistical Review,NLD
Norway,1972,0.0,billion cubic metres,gas,Energy Institute Statistical Review,NOR
Poland,1972,5.584075,billion cubic metres,gas,Energy Institute Statistical Review,POL
Romania,1972,23.76869795,billion cubic metres,gas,Energy Institute Statistical Review,ROU
Ukraine,1972,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UKR
United Kingdom,1972,26.255888000000006,billion cubic metres,gas,Energy Institute Statistical Review,GBR
Azerbaijan,1972,0.0,billion cubic metres,gas,Energy Institute Statistical Review,AZE
Kazakhstan,1972,0.0,billion cubic metres,gas,Energy Institute Statistical Review,KAZ
Russian Federation,1972,0.0,billion cubic metres,gas,Energy Institute Statistical Review,RUS
Turkmenistan,1972,0.0,billion cubic metres,gas,Energy Institute Statistical Review,TKM
Uzbekistan,1972,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UZB
Bahrain,1972,1.1827710000000002,billion cubic metres,gas,Energy Institute Statistical Review,BHR
Iran,1972,11.400434421227947,billion cubic metres,gas,Energy Institute Statistical Review,IRN
Iraq,1972,0.88825,billion cubic metres,gas,Energy Institute Statistical Review,IRQ
Israel,1972,0.11819576221611458,billion cubic metres,gas,Energy Institute Statistical Review,ISR
Kuwait,1972,2.36265,billion cubic metres,gas,Energy Institute Statistical Review,KWT
Oman,1972,0.0,billion cubic metres,gas,Energy Institute Statistical Review,OMN
Qatar,1972,1.1416050000000002,billion cubic metres,gas,Energy Institute Statistical Review,QAT
Saudi Arabia,1972,1.45255,billion cubic metres,gas,Energy Institute Statistical Review,SAU
Syria,1972,0.0,billion cubic metres,gas,Energy Institute Statistical Review,SYR
United Arab Emirates,1972,1.455675,billion cubic metres,gas,Energy Institute Statistical Review,ARE
Algeria,1972,3.2561375,billion cubic metres,gas,Energy Institute Statistical Review,DZA
Egypt,1972,0.06833750000000001,billion cubic metres,gas,Energy Institute Statistical Review,EGY
Libya,1972,2.6904,billion cubic metres,gas,Energy Institute Statistical Review,LBY
Nigeria,1972,0.26172500000000004,billion cubic metres,gas,Energy Institute Statistical Review,NGA
Australia,1972,3.7074262864000005,billion cubic metres,gas,Energy Institute Statistical Review,AUS
Bangladesh,1972,0.4456375,billion cubic metres,gas,Energy Institute Statistical Review,BGD
Brunei,1972,0.43436250000000004,billion cubic metres,gas,Energy Institute Statistical Review,BRN
China,1972,4.878072763028515,billion cubic metres,gas,Energy Institute Statistical Review,CHN
India,1972,0.7355906249999999,billion cubic metres,gas,Energy Institute Statistical Review,IND
Indonesia,1972,1.127665,billion cubic metres,gas,Energy Institute Statistical Review,IDN
Malaysia,1972,0.11605093980175121,billion cubic metres,gas,Energy Institute Statistical Review,MYS
Myanmar,1972,0.015228750000000003,billion cubic metres,gas,Energy Institute Statistical Review,MMR
