Country,Year,Production,Unit,Commodity,Source,iso3
Canada,1965,920.0,thousand barrels per day,oil,Energy Institute Statistical Review,CAN
Mexico,1965,361.99999999999994,thousand barrels per day,oil,Energy Institute Statistical Review,MEX
United States,1965,9014.148000000001,thousand barrels per day,oil,Energy Institute Statistical Review,USA
Argentina,1965,275.6739726027397,thousand barrels per day,oil,Energy Institute Statistical Review,ARG
Brazil,1965,96.05,thousand barrels per day,oil,Energy Institute Statistical Review,BRA
Colombia,1965,203.0,thousand barrels per day,oil,Energy Institute Statistical Review,COL
Ecuador,1965,8.000000000000002,thousand barrels per day,oil,Energy Institute Statistical Review,ECU
Guyana,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,GUY
Peru,1965,66.0,thousand barrels per day,oil,Energy Institute Statistical Review,PER
Trinidad and Tobago,1965,135.0,thousand barrels per day,oil,Energy Institute Statistical Review,TTO
Venezuela,1965,3503.0,thousand barrels per day,oil,Energy Institute Statistical Review,VEN
Denmark,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,DNK
Italy,1965,47.76627397260273,thousand barrels per day,oil,Energy Institute Statistical Review,ITA
Norway,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,NOR
Romania,1965,265.77591780821916,thousand barrels per day,oil,Energy Institute Statistical Review,ROU
United Kingdom,1965,1.7398356164383564,thousand barrels per day,oil,Energy Institute Statistical Review,GBR
Azerbaijan,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,AZE
Kazakhstan,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,KAZ
Russian Federation,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,RUS
Turkmenistan,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,TKM
Uzbekistan,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,UZB
Iran,1965,1908.0000000000002,thousand barrels per day,oil,Energy Institute Statistical Review,IRN
Iraq,1965,1313.0000000000002,thousand barrels per day,oil,Energy Institute Statistical Review,IRQ
Kuwait,1965,2371.0000000000005,thousand barrels per day,oil,Energy Institute Statistical Review,KWT
Oman,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,OMN
Qatar,1965,233.0,thousand barrels per day,oil,Energy Institute Statistical Review,QAT
Saudi Arabia,1965,2219.3,thousand barrels per day,oil,Energy Institute Statistical Review,SAU
Syria,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,SYR
United Arab Emirates,1965,282.2,thousand barrels per day,oil,Energy Institute Statistical Review,ARE
Yemen,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,YEM
Algeria,1965,569.9438356164384,thousand barrels per day,oil,Energy Institute Statistical Review,DZA
Angola,1965,13.297397260273973,thousand barrels per day,oil,Energy Institute Statistical Review,AGO
Chad,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,TCD
Republic of the Congo,1965,1.3772054794520547,thousand barrels per day,oil,Energy Institute Statistical Review,COG
Egypt,1965,126.01041095890412,thousand barrels per day,oil,Energy Institute Statistical Review,EGY
Equatorial Guinea,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,GNQ
Gabon,1965,25.334657534246578,thousand barrels per day,oil,Energy Institute Statistical Review,GAB
Libya,1965,1220.0,thousand barrels per day,oil,Energy Institute Statistical Review,LBY
Nigeria,1965,274.2,thousand barrels per day,oil,Energy Institute Statistical Review,NGA
South Sudan,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,SSD
Sudan,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,SDN
Tunisia,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,TUN
Australia,1965,7.0,thousand barrels per day,oil,Energy Institute Statistical Review,AUS
Brunei,1965,79.99999999999999,thousand barrels per day,oil,Energy Institute Statistical Review,BRN
China,1965,227.12958904109593,thousand barrels per day,oil,Energy Institute Statistical Review,CHN
India,1965,62.34427397260275,thousand barrels per day,oil,Energy Institute Statistical Review,IND
Indonesia,1965,486.00000000000006,thousand barrels per day,oil,Energy Institute Statistical Review,IDN
Malaysia,1965,1.0,thousand barrels per day,oil,Energy Institute Statistical Review,MYS
Thailand,1965,0.0,thousand barrels per day,oil,Energy Institute Statistical Review,THA
